date,arbnet_density_skew,arbnet,ackerer,bs,arbnet_density
2021-06-03,91.2337875366211,130.0711669921875,87.09909057617188,92.30435943603516,95.74834442138672
2021-06-04,71.45038604736328,121.8655776977539,75.82841491699219,76.04657745361328,75.55950927734375
2021-06-07,80.43756103515625,118.10193634033203,74.84668731689453,83.42860412597656,85.38316345214844
2021-06-08,57.4726448059082,119.1186294555664,49.1728630065918,58.713409423828125,55.90019607543945
2021-06-09,85.77059173583984,116.81084442138672,79.6259994506836,88.95955657958984,89.98564910888672
2021-06-10,57.379844665527344,121.1937484741211,56.70525360107422,55.665592193603516,61.05509567260742
2021-06-11,63.71287155151367,119.46097564697266,79.46498107910156,62.756107330322266,65.8855209350586
2021-06-14,74.27149200439453,118.68728637695312,82.56413269042969,76.8855209350586,77.78488159179688
2021-06-15,75.82167053222656,120.96288299560547,83.76343536376953,83.9083480834961,80.22798919677734
2021-06-16,70.98723602294922,110.42605590820312,72.31314849853516,65.69578552246094,72.9115982055664
2021-06-17,67.53651428222656,122.90492248535156,79.23213195800781,65.24740600585938,61.85755920410156
2021-06-18,63.570438385009766,123.13875579833984,72.19515228271484,61.98263931274414,63.559120178222656
2021-06-21,80.23538970947266,117.05068969726562,80.67496490478516,72.38980102539062,82.18910217285156
2021-06-22,81.37045288085938,118.84907531738281,74.21604919433594,81.76921844482422,84.14039611816406
2021-06-23,70.27436065673828,113.03631591796875,91.74514770507812,76.35160827636719,76.11360931396484
2021-06-24,65.20098114013672,114.509521484375,73.33711242675781,65.08421325683594,64.33333587646484
2021-06-25,78.28358459472656,114.33927154541016,82.06757354736328,74.2513198852539,76.03057861328125
2021-06-28,62.284881591796875,114.22203063964844,64.8008041381836,66.1614990234375,61.172672271728516
2021-06-29,64.25920104980469,106.56114196777344,66.49304962158203,63.752784729003906,65.68118286132812
2021-06-30,69.1523208618164,113.39978790283203,64.96562194824219,67.091064453125,65.55430603027344
2021-07-01,95.81539154052734,120.74957275390625,83.22586059570312,91.8498306274414,97.34396362304688
2021-07-02,89.64688873291016,137.14637756347656,78.01334381103516,83.27483367919922,85.54969787597656
2021-07-05,96.73914337158203,126.59237670898438,113.62702178955078,89.32999420166016,99.53311157226562
2021-07-06,97.30934143066406,121.31592559814453,98.1234359741211,90.09371948242188,101.33968353271484
2021-07-07,88.19573211669922,118.54533386230469,101.26179504394531,86.08673095703125,85.09136962890625
2021-07-08,96.81963348388672,128.7178497314453,92.92939758300781,89.4820785522461,99.92460632324219
2021-07-09,105.04276275634766,129.78366088867188,90.36666870117188,101.46208190917969,106.40343475341797
2021-07-12,92.7840805053711,124.95310974121094,83.28225708007812,84.89704895019531,96.20206451416016
2021-07-13,100.7109146118164,124.6285400390625,98.50442504882812,103.06318664550781,106.220458984375
2021-07-14,82.8424301147461,118.97789764404297,82.91471862792969,75.18257904052734,74.87895965576172
2021-07-15,86.3403549194336,127.97747039794922,99.42189025878906,82.80668640136719,80.59229278564453
2021-07-16,107.48993682861328,141.95193481445312,110.0291748046875,100.35983276367188,110.74701690673828
2021-07-19,99.09590148925781,131.1964874267578,113.142822265625,97.21595764160156,103.22594451904297
2021-07-20,73.78608703613281,122.87244415283203,83.87860107421875,66.32071685791016,67.189453125
2021-07-22,87.68400573730469,131.0039825439453,94.10494995117188,85.69621276855469,83.31494903564453
2021-07-23,106.15278625488281,134.8988494873047,103.28841400146484,103.08782958984375,108.61634826660156
2021-07-26,95.68717193603516,131.1878662109375,90.33951568603516,94.70288848876953,99.3099365234375
2021-07-27,67.2005615234375,116.08238983154297,85.74161529541016,72.45260620117188,72.80628967285156
2021-07-28,69.65616607666016,112.34539031982422,74.03865051269531,68.12032318115234,69.38414764404297
2021-07-29,72.16752624511719,122.8420639038086,85.35271453857422,75.27191925048828,75.23783111572266
2021-07-30,86.158935546875,124.58372497558594,66.26380920410156,85.5568618774414,84.14939880371094
2021-08-02,95.14261627197266,119.85301971435547,102.91557312011719,94.16130828857422,100.3783187866211
2021-08-03,104.5315933227539,120.76223754882812,104.96896362304688,101.7765121459961,108.44865417480469
2021-08-04,103.16842651367188,123.29998016357422,129.54383850097656,101.56713104248047,109.52579498291016
2021-08-05,94.67733764648438,125.71337890625,98.80996704101562,94.33118438720703,92.21063232421875
2021-08-06,93.31242370605469,130.49473571777344,110.9008560180664,91.08675384521484,90.00692749023438
2021-08-09,92.706298828125,130.43228149414062,87.45793151855469,89.26990509033203,86.6378402709961
2021-08-10,115.74864959716797,135.59567260742188,118.27490234375,116.0564956665039,119.64568328857422
2021-08-11,84.22985076904297,124.0260238647461,74.58633422851562,85.05690002441406,82.46403503417969
2021-08-12,94.49446105957031,128.71206665039062,99.22021484375,88.82196807861328,91.1620864868164
2021-08-13,114.82502746582031,134.8448486328125,99.3394775390625,106.40970611572266,112.71818542480469
2021-08-16,84.19021606445312,123.94901275634766,88.59284973144531,78.34065246582031,79.11351776123047
2021-08-17,89.629150390625,121.20613861083984,94.62796020507812,86.60090637207031,85.56271362304688
2021-08-18,86.8936767578125,121.75996398925781,97.06905364990234,87.18241882324219,85.15065002441406
2021-08-20,96.25049591064453,126.78633880615234,94.74756622314453,97.72838592529297,99.68722534179688
2021-08-23,64.09880828857422,117.86244201660156,76.73414611816406,72.19845581054688,65.9699935913086
2021-08-24,92.39322662353516,118.5716781616211,85.72582244873047,95.14971923828125,94.38392639160156
2021-08-25,69.26577758789062,109.44547271728516,72.5478744506836,75.20962524414062,71.74462127685547
2021-08-26,105.00492095947266,127.71662902832031,108.40802001953125,96.53372192382812,107.82225799560547
2021-08-27,93.4499282836914,114.11190032958984,96.62593841552734,95.16340637207031,97.51026916503906
2021-08-30,97.9437255859375,124.94585418701172,114.01405334472656,96.78311157226562,94.04029846191406
2021-08-31,104.37214660644531,125.66200256347656,131.08523559570312,102.17687225341797,108.4586410522461
2021-09-01,87.90950775146484,113.94232177734375,89.87923431396484,85.98344421386719,85.39915466308594
2021-09-02,94.35816955566406,122.85704803466797,98.30641174316406,92.33617401123047,92.50563049316406
2021-09-03,103.43087768554688,132.7141876220703,103.21235656738281,108.42899322509766,107.41732025146484
2021-09-06,70.65606689453125,114.50082397460938,62.54924774169922,69.508056640625,70.71501922607422
2021-09-07,68.68606567382812,111.85725402832031,54.986167907714844,71.6035385131836,71.72379302978516
2021-09-08,88.81919860839844,116.81697845458984,76.60032653808594,90.01759338378906,94.6955795288086
2021-09-09,83.0224380493164,128.46302795410156,74.90424346923828,89.77111053466797,87.36585235595703
2021-09-13,81.44242095947266,111.97309875488281,75.2947006225586,81.96113586425781,85.79490661621094
2021-09-14,68.86036682128906,115.91585540771484,78.85962677001953,70.11058044433594,69.21582794189453
2021-09-15,70.9730453491211,101.72933197021484,62.995079040527344,73.14392852783203,72.27426147460938
2021-09-16,78.07395935058594,117.90303802490234,108.91908264160156,79.99014282226562,81.17901611328125
2021-09-17,53.36665725708008,112.61763000488281,72.43572998046875,65.35665130615234,57.821380615234375
2021-09-20,54.1231689453125,116.06645202636719,66.7244873046875,52.273780822753906,52.29544448852539
2021-09-21,68.88068389892578,111.3449478149414,82.21271514892578,69.98328399658203,70.42180633544922
2021-09-22,49.548553466796875,105.08792114257812,46.412330627441406,51.171993255615234,49.70610427856445
2021-09-23,57.42633056640625,103.75792694091797,60.94767379760742,58.78334045410156,59.346736907958984
2021-09-24,61.04973220825195,108.09848022460938,99.42772674560547,63.284751892089844,64.78363037109375
2021-09-27,37.00753402709961,105.68920135498047,41.94363021850586,43.35900115966797,39.87344741821289
2021-09-28,31.002967834472656,108.75199890136719,35.97175216674805,37.95921325683594,34.06446075439453
2021-09-29,38.813331604003906,106.5908432006836,46.03236770629883,43.88785934448242,42.06544876098633
2021-09-30,36.04459762573242,114.27456665039062,41.46407699584961,43.38282775878906,38.13218307495117
2021-10-01,45.003273010253906,125.84298706054688,50.28308868408203,54.53656005859375,50.071617126464844
2021-10-04,52.22013473510742,118.34381866455078,57.800193786621094,55.255802154541016,55.09430694580078
2021-10-05,61.88728332519531,117.08773803710938,53.867149353027344,60.81983947753906,61.40106201171875
2021-10-06,55.00033187866211,119.14183044433594,51.02799987792969,60.33802032470703,58.099674224853516
2021-10-07,73.36481475830078,117.04569244384766,71.91799926757812,71.30870819091797,76.08541870117188
2021-10-08,79.26351165771484,121.8694076538086,85.56859588623047,78.34466552734375,83.99955749511719
2021-10-11,76.22181701660156,110.91861724853516,103.74079895019531,76.55033874511719,76.51398468017578
2021-10-12,77.39009857177734,125.49943542480469,65.67725372314453,73.35440063476562,78.51260375976562
2021-10-13,59.84989547729492,107.43179321289062,55.94334030151367,61.73557662963867,62.78215789794922
2021-10-14,67.95983123779297,109.78713989257812,69.69744873046875,69.90264892578125,69.54073333740234
2021-10-18,43.940547943115234,107.38286590576172,53.527557373046875,49.10243225097656,48.305091857910156
2021-10-19,55.897743225097656,112.59497833251953,56.251121520996094,52.96072769165039,57.75575256347656
2021-10-20,33.160255432128906,111.02791595458984,39.996185302734375,34.82325744628906,34.94629669189453
2021-10-21,38.59873962402344,116.62655639648438,42.52738952636719,40.927310943603516,39.41852569580078
2021-10-22,39.81816482543945,122.39131927490234,39.8590087890625,42.12519454956055,39.93013000488281
2021-10-25,45.694610595703125,118.16902923583984,61.22227478027344,44.6748046875,46.65370559692383
2021-10-26,49.976226806640625,115.2605972290039,44.77190399169922,48.73687744140625,52.015708923339844
2021-10-27,43.4468994140625,111.18927764892578,37.328739166259766,42.49338912963867,43.74781799316406
2021-10-28,39.729881286621094,124.81974792480469,30.32790184020996,41.453369140625,39.02976989746094
2021-10-29,42.99197769165039,126.25950622558594,41.49165344238281,47.632354736328125,46.23448944091797
2021-11-01,41.48319625854492,120.27007293701172,41.7408561706543,46.14270782470703,42.087181091308594
2021-11-02,44.739173889160156,118.52803802490234,46.74323272705078,50.48603057861328,48.3409309387207
2021-11-03,53.05754089355469,122.70425415039062,52.15943145751953,59.016754150390625,57.32118225097656
2021-11-04,45.264251708984375,129.35797119140625,58.9801139831543,52.56199645996094,45.600669860839844
2021-11-08,46.965354919433594,121.29719543457031,42.702327728271484,48.70042037963867,48.00748062133789
2021-11-09,47.56846618652344,118.78233337402344,51.693416595458984,50.859588623046875,50.567020416259766
2021-11-10,55.06850051879883,118.78285217285156,46.46784591674805,55.1109733581543,51.502357482910156
2021-11-11,54.64892578125,123.8563232421875,45.40733337402344,53.98390197753906,51.79505920410156
2021-11-12,52.6391487121582,123.27157592773438,60.20897674560547,56.31735610961914,54.078800201416016
2021-11-15,61.74589157104492,115.4043197631836,67.82737731933594,63.399166107177734,64.77876281738281
2021-11-16,56.476661682128906,122.1019515991211,73.73169708251953,55.018917083740234,56.05038833618164
2021-11-17,67.89427185058594,120.17156982421875,69.21125793457031,64.93275451660156,70.844482421875
2021-11-18,62.0456428527832,118.75052642822266,68.01071166992188,59.74782943725586,59.8997917175293
2021-11-22,56.44337463378906,115.56029510498047,80.44889068603516,54.62870788574219,58.91264724731445
2021-11-23,52.86478042602539,115.8202133178711,69.59514617919922,57.304359436035156,56.626705169677734
2021-11-24,61.269073486328125,112.7844467163086,91.31143951416016,61.74799346923828,65.53789520263672
2021-11-25,51.67670440673828,115.34674072265625,57.37007522583008,58.30626678466797,57.633602142333984
2021-11-26,49.97505569458008,113.53446960449219,54.01423645019531,49.736572265625,50.80421447753906
2021-11-29,33.69291305541992,113.25115203857422,40.84428787231445,37.12681198120117,34.2266845703125
2021-11-30,33.12470245361328,109.38995361328125,45.22508239746094,38.33306884765625,34.3363151550293
2021-12-01,38.39256286621094,112.42848205566406,43.901615142822266,44.546146392822266,43.28496170043945
2021-12-02,52.13567352294922,117.3162841796875,66.93236541748047,55.927894592285156,56.426456451416016
2021-12-03,35.913082122802734,116.22543334960938,46.292293548583984,41.86561965942383,38.70701599121094
2021-12-06,26.193254470825195,109.23295593261719,37.910091400146484,32.10760498046875,29.406946182250977
2021-12-07,31.037275314331055,112.6618423461914,33.619441986083984,36.89513397216797,34.55715560913086
2021-12-08,39.45027542114258,111.8666000366211,32.21917724609375,44.08330154418945,41.0536994934082
2021-12-09,50.98142623901367,115.04849243164062,49.68437576293945,53.5694694519043,55.05580520629883
2021-12-10,53.110050201416016,116.25821685791016,63.96734619140625,53.483402252197266,56.768165588378906
2021-12-13,42.141170501708984,111.93283081054688,50.05806350708008,43.48672866821289,42.558170318603516
2021-12-14,44.076107025146484,115.17951202392578,41.31511306762695,47.48775863647461,47.97650909423828
